"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1590","Try login with invalid credentials","","Wed Oct 22 19:33:06 UTC 2025","passed","Wed Oct 22 19:33:08 UTC 2025","","Login","",""
"","2978","Buy item","","Wed Oct 22 19:33:13 UTC 2025","passed","Wed Oct 22 19:33:16 UTC 2025","","Shopping","",""
