"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2857","Buy item","","Mon Sep 29 22:44:28 UTC 2025","passed","Mon Sep 29 22:44:31 UTC 2025","","Shopping","",""
"","1879","Try login with invalid credentials","","Mon Sep 29 22:44:21 UTC 2025","passed","Mon Sep 29 22:44:23 UTC 2025","","Login","",""
