"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1453","Try login with invalid credentials","","Wed Oct 22 19:39:52 UTC 2025","passed","Wed Oct 22 19:39:54 UTC 2025","","Login","",""
"","2696","Buy item","","Wed Oct 22 19:39:59 UTC 2025","passed","Wed Oct 22 19:40:01 UTC 2025","","Shopping","",""
