"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1436","Try login with invalid credentials","","Thu Oct 02 00:01:16 UTC 2025","passed","Thu Oct 02 00:01:18 UTC 2025","","Login","",""
"","2656","Buy item","","Thu Oct 02 00:01:23 UTC 2025","passed","Thu Oct 02 00:01:25 UTC 2025","","Shopping","",""
