"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2852","Buy item","","Wed Oct 22 19:52:00 UTC 2025","passed","Wed Oct 22 19:52:03 UTC 2025","","Shopping","",""
"","1746","Try login with invalid credentials","","Wed Oct 22 19:51:53 UTC 2025","passed","Wed Oct 22 19:51:55 UTC 2025","","Login","",""
