"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2718","Buy item","","Wed Oct 22 19:47:38 UTC 2025","passed","Wed Oct 22 19:47:40 UTC 2025","","Shopping","",""
"","1530","Try login with invalid credentials","","Wed Oct 22 19:47:31 UTC 2025","passed","Wed Oct 22 19:47:33 UTC 2025","","Login","",""
