"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2968","Buy item","","Tue Sep 30 01:50:25 UTC 2025","passed","Tue Sep 30 01:50:28 UTC 2025","","Shopping","",""
"","1474","Try login with invalid credentials","","Tue Sep 30 01:50:19 UTC 2025","passed","Tue Sep 30 01:50:20 UTC 2025","","Login","",""
